"Voluntarios — Terremoto en Colombia (10 de agosto de 2026)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Fundación Catalina Muñoz","Diagonal 48 # 19-16
8:00am - 6:00pm","Personas interesadas en (i) llenar bases de datos; (ii) inventariar y organizar las donaciones; (iii) registrar y actualizar información; (iv) apoyar en la recepción y clasificación de insumos. Ideal traer computador","Natalia Ruiz +573002618537","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Minuto de Dios","Transversal 73A # 82-61 (Banco de Ropas)","Personas interesadas en organizar donaciones","https://www.instagram.com/p/Db6DWYNkcAe/","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Varios","Carrera 9A # 90-40","Personas interesados en clasificar y empacar las donaciones","https://www.instagram.com/p/Db6lMmYJ8XB/","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Unicentro","Carrera 15 #124-30","Personas interesados en clasificar y empacar las donaciones","https://www.instagram.com/p/Db9BQoDm-Tp/?img_index=3","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Banco de Alimentos","Calle 19A # 32-50
9:00am- 5:00pm","Personas interesadas en servir, ayudar, gestionar y organizar insumos","https://www.instagram.com/p/Db7ZhZqlaqC/?img_index=1","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Iglesia de Scientology","Carrera 19 # 100-21
9:30am - 9pm","Personas interesadas en servir, ayudar, gestionar y organizar insumos","https://www.instagram.com/p/Db7ZhZqlaqC/?img_index=1","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Universidad Jorge Tadeo Lozano","Carrera 4 # 22-61","Personas interesadas en servir, ayudar, gestionar y organizar insumos","https://www.instagram.com/p/Db7ZhZqlaqC/?img_index=1","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","ACRIYA SAS","Calle 70 # 20-55","Personas interesadas en servir, ayudar, gestionar y organizar insumos","https://www.instagram.com/p/Db9BQoDm-Tp/?img_index=5","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Vive Claro Distrito Cultural","Av. La Esmeralda # 42-22","Personas interesadas en servir, ayudar, gestionar y organizar insumos","https://www.instagram.com/p/Db9BQoDm-Tp/?img_index=5","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Mujeres por la Democracia","Carrera 15 # 82-81","Pesronas para clasificar y empacar","https://www.instagram.com/p/Db9nKORiWAf/","","","","","","","","","","","","","","","","","","","","",""
"Mosquera","Varios","JIT Logistics. Logika 13, Etapa 3, Bodega 5. Km 1.5 vía Bogotá-Mosquera","Para el 12 de agosto. Estaremos organizando y separando ayudas que serán enviadas a las zonas más afectadas de Colombia. Si pueden acompañarnos, serán muy bienvenidos.

Inscripción previa: envíen su nombre y número de cédula al 304 664 6639.

Y un dato práctico: lleven marcadores gruesos para rotular las cajas, que nos van a servir muchísimo.
","https://www.instagram.com/p/Db6z5exAFY3/","","","","","","","","","","","","","","","","","","","","",""
"CALDAS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Manizales","Alcaldía de Manizales","Av. Kevin Ángel # 59-181","Se buscan profesionales en trabajo social, psicología, sociología, antropología para escuchar, orientar y acompañar a quienes están atravesando momentos difíciles.","https://www.instagram.com/p/Db9Pz3ZxrVv/","","","","","","","","","","","","","","","","","","","","",""
"BOLIVAR","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cartagena","Fundación Tierra Grata","Edificio Torre Mar de Luna - Carrera 44D # 30-42
8:00 am - 6:00 pm","Personas interesadas en (i) llenar bases de datos; (ii) inventariar y organizar las donaciones; (iii) registrar y actualizar información; (iv) apoyar en la recepción y clasificación de insumos. Ideal traer computador","Carolina Corpas +57323791670","","","","","","","","","","","","","","","","","","","","",""
"Cartagena","Fundación Tierra Grata","Edificio Morros 1, al lado del Hotel Las Américas
8:00 am - 6:00 pm","Personas interesadas en (i) llenar bases de datos; (ii) inventariar y organizar las donaciones; (iii) registrar y actualizar información; (iv) apoyar en la recepción y clasificación de insumos. Ideal traer computador","Carolina Corpas +57323791670","","","","","","","","","","","","","","","","","","","","",""
"ANTIOQUIA","","","","","","","","","","","","","","","","","","","","","","","","",""
"Medellín","Colectivo AfroUdeA","Bajos del Bloque 9
9:00 am - 5:00 pm","Personas interesadas en (i) llenar bases de datos; (ii) inventariar y organizar las donaciones; (iii) registrar y actualizar información; (iv) apoyar en la recepción y clasificación de insumos. Ideal traer computador","Ximena Hernández +573114505940","","","","","","","","","","","","","","","","","","","","",""
"Medellín","Politécnico Grancolombiano","Carrera 74 # 52.20
9:00 am - 12:00m; 2:00pm - 5:00 pm","Personas interesadas en (i) llenar bases de datos; (ii) inventariar y organizar las donaciones; (iii) registrar y actualizar información; (iv) apoyar en la recepción y clasificación de insumos. Ideal traer computador","Marcelino Gaitán Villegas +573228533106","","","","","","","","","","","","","","","","","","","","",""
"VALLE DEL CAUCA","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cali","Alcaldía de Santiago de Cali","Carrera 38 Bis # 5-91","Ingenieros civiles, ingenieros estructurales y arquitectos que puedan apoyar las labores de evaluación y verificación de posibles afectaciones trar el sismo","https://www.instagram.com/p/Db5oawRRfE5/","","","","","","","","","","","","","","","","","","","","",""
