Donaciones de Dinero — Terremoto en Colombia (10 de agosto de 2026),,,,
"Esta pestaña dejó de ser actualizada el miércoles 12 de agosto. Para información actualizada y nuevas sugerencias de donación, visite www.tinyurl.com/AyudaColHub",,,,
Se recomienda revisar los horarios de donación en las cuentas de redes sociales de quienes las organizan                                ,,,,
Organización,Punto de entrega / Canal,"Detalle (dirección, cuenta, enlace)",Qué se necesita,Contacto / Más información
Save the Children,En línea,https://www.savethechildren.net/checkout/donate-support-children-living-crisis-colombia-earthquake-footer-rg,Fondos para atención humanitaria de emergencia (funciona desde el extranjero),https://www.instagram.com/p/Db4aTR7DC42/?img_index=1
Pastoral Social de Medellín,Cuenta Ahorros Bancolombia,"006-089501-68
Titular: Cáritas Arquidiocesana de Medellín",Fondos para atención humanitaria de emergencia,https://www.instagram.com/p/Db5bQ8FRkYn/
Fundación Amigos por una Nueva Colombia,Cuenta Ahorros Bancolombia,"261-000749-22
CC 25.289.478
- Enviar comprobante a Gina Rodríguez: +57 3137460152 ",Fondos para atención humanitaria de emergencia,"-Gina Rodríguez: +57 3137460152
-Luisa Coral: +57 316 4660087
-Gabriel Lozano:+57 319 719 5796"
"Fundación Internacional Maria Luisa de Moreno
",En línea,https://colombia.marialuisa.foundation/finalizar-donacion-ayuda-colombia/,Fondos para atención humanitaria de emergencia,https://www.instagram.com/p/Db4L0l9mrPi/
ACN Colombia,En línea,https://www.acncolombia.org/terremoto-en-colombia,Fondos para atención humanitaria de emergencia (comunidad religiosa),https://www.acncolombia.org/terremoto-en-colombia
Alcaldía de Pereira / Sociedad de Mejoras de Pereira,Cuenta Ahorros Bancolombia,"2700000053
Titular: Sociedad de Mejoras de Pereira",Fondos para atención humanitaria de emergencia en Pereira,https://www.instagram.com/stories/alcaldiadepereira/3961006409336395369/
New England Association for Colombian Children,En línea,https://givebutter.com/colombian-earthquake,"Fondos para atención humanitaria. La organización duplicará cada donación que se haga, hasta alcanzar la meta de USD 10,000","https://www.instagram.com/p/Db5bpYEGj0u/

info@neacol.org"
Fundación Vuya,Cuenta Ahorros Bancolombia,"101-000007-78
Titular: Fundación Vuya
NIT: 901415440","Fondos para atención humanitaria en los corregimientos del Río Atrato: La Molana, San Juan y Baudó. Los aportes serán utilizados para la compra y el traslado de materiales de construcción",https://www.instagram.com/p/Db6EUtekTYo/?img_index=1
,En línea - desde Estados Unidos,https://sag.efipay.co/checkout/payment-gateway/019ff122-8b3c-73be-b013-00f900dfac9d?signature=5105d1aa8d6fc6c22d874d2937c5ba0e2840b8eb986548e22a45ba3c9be3b116,,
,En línea - desde Europa,https://sag.efipay.co/checkout/payment-gateway/019ff124-265a-724d-8120-706218512b17?signature=0f9d27a003f4cad26e0307fdc2e617f791d15a3f49912150f50762cef7bb0461,,
Colectivo TRASO,Cuenta Corriente Bancolombia,"08522852155
Titular: TRASO Colectivo de Transformación Social
NIT: 890.480.468-0","Fondos para atención humanitaria. Los soportes de transferencia deben enviarse al correo electrónico:
sbohorquez@colectivotraso.org",https://www.instagram.com/p/Db6BEjNES_h/?img_index=3
ROTARACT Distrito 4821,Cuenta Ahorros Banco Caja Social,"24102330728
Asociación Rotaract Colombia Distrito 4281
NIT 901104464-1",Fondos para atención humanitaria.,https://www.instagram.com/p/Db5_f_4RqKm/
Fundación Acacia de Vida / UdeA,Cuenta Ahorros Bancolombia,"25900002639
Titular: Fundación Acacia de Vida","Las donaciones económicas serán destinadas a la compra de insumos generales y, de ser necesario, medicamentos para apoyar a las comunidades afectadas.",https://www.instagram.com/p/Db6OnikGrJv/?img_index=1
Alcaldía Municipal de Dosquebradas (Risaralda),Cuenta Ahorros Davivienda,"127400027778
Titular: municipio de Dosquebradas",Fondos para atención humanitaria,https://www.instagram.com/p/Db6K7xVG8md/?igsh=MWpua2hoMDZsbDd6&img_index=2
Fundación Banco de Alimentos - Diócesis de Quibdó,Cuenta Ahorros Banco de Bogotá,"578816514
NIT: 902066805-8",Fondos para la atención humanitaria en el Chocó,
Pastoral Social - Diócesis de Quibdó,Cuenta Ahorros Bancolombia,"53600002300
NIT: 900242658-9",Fondos para la atención humanitaria en el Chocó,
Fundación SACIAR,Cuenta Ahorros Bancolombia,"00500027886
Titular: Fundación Saciar",Fondos para la atención humanitaria en el Pacífico,https://www.instagram.com/p/Db85SfROIDs/
Jesuitas Colombia / Pontificia Universidad Javeriana,En línea,https://aportes.jesuitas.org.co/emergencia-Colombia,Fondos para la atención humanitaria,https://www.instagram.com/p/Db9HaZym5sW/?img_index=4
,Cuenta Ahorros Bancolombia,"19258780631
Titular: Compañía de Jesús 
Nit:860.007.627-1",,
Fundación Cadena Colombia,Cuenta Ahorros Bancolombia,"6620000995
Titular: Fundación Cadena Colombia
NIT: 901473695-6",Fondos para la atención humanitaria,https://www.instagram.com/p/Db6q-NignPG/
Amigos Misión Colombia,Cuenta Ahorros Bancolombia,No. 4200000408,Fondos para la atención humanitaria,https://www.instagram.com/p/Db5tzVPqhnh/
,Cuenta Ahorros Davivienda,No. 005570303304,,
United Way Colombia,Cuenta Ahorros Bancolombia,No. 04001382065,Fondos para la atención humanitaria con énfasis en centros educativos,https://www.instagram.com/p/Db6HozjDHHi/
,Cuenta Ahorros Davivienda,No. 005000118207,,
,En línea,unitedwaycolombia.org/emergencia-en-colombia/,,
Educambio,En línea,https://go.suscripciones.co/o/educambio/el-futuro-sigue-en-pie-07d252f6,Fondos para la atención humanitaria en el Chocó y en Quibdó,https://www.instagram.com/p/Db8h1aBjvDS/?img_index=7
,,https://checkout.wompi.co/l/O6UsQk,,
Aid Organization of the Swiss Protestant Church,En línea,https://en.heks.ch/donate?custom_amount=&purpose_id=1568&reason_id=1109&source_id=7674,Fondos para la atención en el Chocó - trabajo con la Diósesis de Istmina-Tadó,https://www.instagram.com/p/Db57mRMDjt1/?img_index=1
Share the Meal (UN World Food Program),En línea,https://sharethemeal.org/es/campaigns/colombia2,Fondos para la atención humanitaria,https://www.instagram.com/p/Db5_GIVGhR1/?img_index=1
Conpazcol,Cuenta Ahorros Bancolombia,26100002358,Fondos para el apoyo de familias afectadas en Buenaventura,https://x.com/ConpazCol_
ProPacífico,Cuenta Corriente Banco de Occidente,"No. 001-5157-58
Titular: Fundación para el Desarrollo Integral del Pacífico
Nit. 890.304.900","Fondos para atender necesidades en Tulúa y Quibdó, entre otros territorios",https://www.instagram.com/p/Db6htiETnOD/
Fundación para la Aplicación y Enseñanza de la Ciencia - FUNDAEC,Cuenta Ahorros Bancolombia,"No. 716-000067-79
NIT. 890-309-449","Las donaciones recibidas serán destinadas a apoyar la atención y respuesta a las necesidades de las comunidades afectadas por el terremoto ocurrido el 10 de agosto de 2026 en Colombia, así como sus procesos de recuperación y fortalecimiento comunitario a mediano y largo plazo, de acuerdo con las necesidades identificadas y capacidad de respuesta de FUNDAEC.",https://www.instagram.com/fundaec_org/
Red Nacional de Mujeres,Cuenta Ahorros Bancolombia,No. 177-000048-39,"Fondos para dar ayuda directa a las mujeres y comunidades afectadas, a través de nuestros nodos territoriales en Valle del Cauca, Chocó, Caldas, Risaralda, Quindío y Cauca",https://www.instagram.com/p/Db6rakePRFB/
Apostolinas Colombia,Cuenta Ahorros Caja Social,No. 24138293253,Fondos para atender la emergencia en Buenaventura,https://www.instagram.com/p/Db6qlIvideo/?img_index=2
,Cuenta Ahorros Davivienda,No. 216000915118,,
