Donaciones en Especie — Terremoto en Colombia (10 de agosto de 2026),,,,
ASPECTOS AL TENER EN CUENTA ANTES DE DONAR: https://drive.google.com/file/d/1N3fp-drEMWVZU1X9GFIH6brFpbM4JZuW/view,,,,
"Esta pestaña dejó de ser actualizada el miércoles 12 de agosto. Para información actualizada y nuevas sugerencias de donación, visite www.tinyurl.com/AyudaColHub",,,,
Se recomienda revisar los horarios de donación en las cuentas de redes sociales de quienes las organizan,,,,
"Empresas dedicadas a la recolección y logística de donaciones (contactar para más detalles): Staff Cycling,  Más Compost y Menos Basura;  Mercado Circular RAW",,,,
Ciudad / Región,Organización,"Detalle (dirección, cuenta, enlace)",Qué se necesita,Contacto / Más información
Bogotá,Corporación Cultural y Ambiental Sueños de Nuevo Amanecer,Calle 57 B Sur # 86-46,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/fund.nuevoamanecer/
Bogotá,Apostolinas Colombia,Calle 35 # 24-40 Apto 201,"Agua potable embotellada, productos de aseo e higiene, elementos de refurio y abrigo, alimentos no perecederos",https://www.instagram.com/p/Db6qlIvideo/?img_index=2
Bogotá,Casa de la Paz,Carrera 13 # 36-37,"Donaciones para Buenaventura: Elementos de seguridad resistentes (cascos, guantes, gafas, botas, tapabocas, etc.), tapabocas, linternas, pilas y baterías, pitos y silbatos, agua potable, herramientas",https://www.instagram.com/p/Db83TIWCcXq/?img_index=1
Bogotá,Fulbright Colombia,"Carrera 7 # 114-33,","Alimentos no perecederos, artículos de higiene, artículos de emergencia y otros artçulos como ropa limpia, mochilas y bolsas reutilizables, kits de primeros auxilios, zapatos, impermetables, sueros",https://www.instagram.com/p/Db84-vZTdA2/
Chía,Alcaldía de Chía,"Centro Comercial Centro Chía, Local 12","Agua potable y bedidas de hidratación, alimentos no perecederos, cobijas, mantas, almohadas, colchonetas, ropa, linterna, baterías, elementos de higiene personal, comida para mascotas, elementos de primeros auxilios",https://www.instagram.com/p/Db5_99Exr4f/
Chía,Centro Comercial Bazaar,"Centro Comercial Bazaar Chía, en oficina de administración",Solamente alimentos no perecederos que serán enviados a la Cruz Roja.,https://www.instagram.com/p/Db38eUmQzn1/
ANTIOQUIA,,,,
Medellín,Fundación Saciar,Calle 50 # 25-261,"Alimentos no perecederos, agua e hidratación, kits de higiene y cuidado personal, kits de cocina completos, kits escolares",https://www.instagram.com/p/Db85SfROIDs/
Medellín,Fundación Banco Arquidiocesano de Alimentos de Medellín,Carrera 52 # 30A - 97,Alimentos y elementos de primera necesidad,https://www.instagram.com/p/Db3yn-LDvL-/?img_index=4
Medellín,Laika (mascotas),Calle 2 Sur # 32-54,"Mascotas: concentrado, alimento húmedo, snacks, medicamentos, guacales
Personas: alimentos no perecederos, medicamentos",https://www.instagram.com/p/Db35Em-CVdG/?img_index=5
Medellín,Laika (mascotas),Cra. 70 #1-141,"Mascotas: concentrado, alimento húmedo, snacks, medicamentos, guacales
Personas: alimentos no perecederos, medicamentos",https://www.instagram.com/p/Db35Em-CVdG/?img_index=5
Medellín,Laika (mascotas),Laika Llanogrande,"Mascotas: concentrado, alimento húmedo, snacks, medicamentos, guacales
Personas: alimentos no perecederos, medicamentos",https://www.instagram.com/p/Db35Em-CVdG/?img_index=5
Medellín,Minuto de Dios,"Carrera 49 # 53-19, oficina 403","Alimentos no perecederos, kits de aseo, colchonetas, frazadas y herramientas.
",https://www.instagram.com/p/Db4A78XsMUB/
Medellín,REDDHHPAC,Carrera 79 # 52A-34 (Librería Rodante Delfos),"Alimentos no perecederos, agua potable, elementos de higiene, ropa, cobijas, colchonetas, implementos para niños y niñas, otros elementos de primera necesidad",https://www.instagram.com/p/Db33CZQPw_D/
Medellín,"Comité de Acción Social, Universidad EAFIT","Cancha, Placa Cubierta","Medicamentos, material de curación, alimentos, aseo personal, otros (ver post en Instagram)",https://www.instagram.com/p/Db6H4O8FS8M/?img_index=1
Medellín,Café Libertario,Diagonal 75 # 39cb-20,"Alimentos no perecederos, agua, productos de higiene, cobijas, ropa en buen estado, elementos de primeros auxilios",https://www.instagram.com/p/Db3rBPIgL6a/?img_index=1
Medellín,Pastoral Social de Medellín,Calle 56 # 43-24,"Alimentos no perecederos, agua en botella, implementos de aseo personal, pañales para niños y adultos, frazadas, colchonetas","https://www.instagram.com/p/Db5bQ8FRkYn/

Cel.: 3112527001 / 3104655663"
Medellín,Asociación de Scouts de Colombia,Carrera 82 #34C - 18,"Alimentos no perecederos, Colchonetas, Cobijas, Gasas, Agua, Pañitos Húmedos, Alimento de Mascotas, Guantes, Guantes de Construcción, Tapabocas, Elementos de Protección, Elementos de Aseo Personal",https://www.instagram.com/p/Db7IbKjttsM/
Medellín,Fundación Acacia de Vida / UdeA,Cra 41 # 24-131 Apto 709 (Urbanización California del Poblado),"Agua embotellada, Alimentos no perecederos, Alimentos para bebés, Ropa en buen estado, Kits de aseo, Kits de primeros auxilios, Medicamentos, Colchonetas, Cobijas",https://www.instagram.com/p/Db6OnikGrJv/?img_index=1
Medellín,Fundación Acacia de Vida / UdeA,"Calle 5B # 36B-36, apto 404 (Urbanización Rincón de Castilla 1)","Agua embotellada, Alimentos no perecederos, Alimentos para bebés, Ropa en buen estado, Kits de aseo, Kits de primeros auxilios, Medicamentos, Colchonetas, Cobijas",https://www.instagram.com/p/Db6OnikGrJv/?img_index=1
Medellín,Fundación Acacia de Vida / UdeA,"Vía Carabanchel – La María
Urbanización La María, Casa 53","Agua embotellada, Alimentos no perecederos, Alimentos para bebés, Ropa en buen estado, Kits de aseo, Kits de primeros auxilios, Medicamentos, Colchonetas, Cobijas",https://www.instagram.com/p/Db6OnikGrJv/?img_index=1
Medellín,Fundación Acacia de Vida / UdeA,"Km 8, Urbanización Haras Santa Lucía
Vía Llanogrande, Casa D28
","Agua embotellada, Alimentos no perecederos, Alimentos para bebés, Ropa en buen estado, Kits de aseo, Kits de primeros auxilios, Medicamentos, Colchonetas, Cobijas",https://www.instagram.com/p/Db6OnikGrJv/?img_index=1
Medellín,Colectivo AfroUdeA,Universidad de Antioquia Bajos del Bloque 9,"Agua, alimentos no perecederos, elementos de aseo, pañales, cobijas, colchonetas, linternas, baterías, medicamentos, insumos de primeros auxilios",https://www.instagram.com/p/Db4JRgRxv5D/
Medellín,Politécnico Grancolombiano,Carrera 74 #52-20,"Agua, alimentos no perecederos, elementos de aseo, pañales, cobijas, colchonetas, linternas, baterías, medicamentos, insumos de primeros auxilios",https://www.instagram.com/p/Db4JRgRxv5D/
Medellín,Pan y Pedazo,Calle 41A # 70-44,"Agua embotellada, enlatados abre-fácil, granos, leche en polvo, colchonetas, kits de aseo y botiquines.",https://www.instagram.com/p/Db7AcInDr1o/?img_index=2
Itaguí,Consejo Municipal de Juventudes,Parque Principal de Itagui,"Implementos de aseo, ropa en buen estado, alimentos no perecederos, otros elementos que puedan ser de ayuda",https://www.instagram.com/p/Db4L36lkQ89/?img_index=4
VALLE DEL CAUCA,,,,
Cali,Alcaldía de Cali,Plazoleta Jairo Varela,"Guantes de construcción, cascos, agua, colchonetas, gafas de protección",https://www.instagram.com/p/Db3h2VxqY1A/
Cali,Cruz Roja,Carrera 38 Bis # 5-91,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=3
Cali,Fundación Arquidiocesana Banco de Alimentos,Calle 24 # 6-103,Alimentos y elementos de primera necesidad,https://www.instagram.com/p/Db3yn-LDvL-/?img_index=1
Cali,Laika (mascotas),Calle 13 # 75-110 (Capry),"Mascotas: concentrado, alimento húmedo, snacks, medicamentos, guacales
Personas: alimentos no perecederos, medicamentos",https://www.instagram.com/p/Db35Em-CVdG/?img_index=5
Cali,Laika (mascotas),Calle 18 # 1282 (Pance),"Mascotas: concentrado, alimento húmedo, snacks, medicamentos, guacales
Personas: alimentos no perecederos, medicamentos",https://www.instagram.com/p/Db35Em-CVdG/?img_index=5
Cali,Minuto de Dios,Calle 5B # 37-120,"Alimentos no perecederos, kits de aseo, colchonetas, frazadas y herramientas.
",https://www.instagram.com/p/Db4A78XsMUB/
Cali,Centro Deportivo Luz Mery Tristán,Calle 18 #180 - 00,"Agua, vendas, guantes de carnaza, seguetas, alcohol, mantas",https://www.instagram.com/p/Db3YpAMxX3_/
Cali,Gobernación del Valle del Cauca,Carrera 1 # 26-85,"Alimentos no perecederos, colchonetas, mantas, kit de aseo, papel higiénco, gafas de protección, toallas, linternas, alimentos para perros y gatos, carpas, tapabocas, guantes, casos de protección",https://www.instagram.com/p/Db4IJxkO5QP/
Cali,Educambio,Carrera 24 # 5 Oeste - 25,"Kits de alimentos, kits de higiene y kits de descanso",https://www.instagram.com/p/Db8h1aBjvDS/?img_index=1
Cali,Fundación Valle de Lili / Hospital Padrino / ProPacífico,Carrera 4 No. 22-07,Medicamentos e insumos médicos,https://www.instagram.com/p/Db6htiETnOD/
Cali,Varios,Centralización de otros puntos de acopio en Cali: https://donde-ayudo-valle.vercel.app/cali,Revisar página web para confirmar necesidades,https://donde-ayudo-valle.vercel.app/cali
Buenaventura,Banco de Alimentos de Buenaventura,Av. Simón Bolívar # 47C-70,Alimentos y elementos de primera necesidad,https://www.instagram.com/p/Db3yn-LDvL-/?img_index=4
RISARALDA,,,,
Pereira,Banco de Alimentos de Pereira,Parroquia San Marcos Evangelista (Barrio Santa Isabel - Dosquebradas),Alimentos y elementos de primera necesidad,https://www.instagram.com/p/Db3yn-LDvL-/?img_index=4
Dosquebradas,Alcaldía municipal de Dosquebradas,Plazoleta del CAM,"Alimentos no perecederos, frazadas, kits de aseo personal, alimentos para perros y gatos, medicamentos",https://www.instagram.com/p/Db6K7xVG8md/?igsh=MWpua2hoMDZsbDd6&img_index=2
CALDAS,,,,
Manizales,Banco de Alimentos de Manizales,Calle 49 # 27A - 85,Alimentos y elementos de primera necesidad,https://www.instagram.com/p/Db3yn-LDvL-/?img_index=4
Manizales,Cruz Roja,Avenida Kevin Ángel - Carrera 21 # 63-350,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=3
ATLÁNTICO,,,,
Barranquilla,Alcaldía de Barranquilla,Carrera 43 #6-120,"Alimentos no perecederos, agua potable, insumos médicos, productos de aseo, artículos para bebés, ropa en buen estado, colchonetas",https://www.instagram.com/p/Db30oNygSZn/?img_index=1
Barranquilla,Minuto de Dios,Calle 73 # 7E (esquina),"Alimentos no perecederos, kits de aseo, colchonetas, frazadas y herramientas.
",https://www.instagram.com/p/Db4A78XsMUB/
QUINDÍO,,,,
Armenia,Banco de Alimentos Monseñor Roberto López Londoño,Calle 21 No. 12-25,Alimentos y elementos de primera necesidad,https://www.instagram.com/p/Db3yn-LDvL-/?img_index=4
TOLIMA,,,,
Ibagué,Banco Arquidiocesano de Alimentos de Ibagué,Carrera 4 Estadio No. 23-42/44,Alimentos y elementos de primera necesidad,https://www.instagram.com/p/Db3yn-LDvL-/?img_index=1
SANTANDER,,,,
Bucaramanga,Cruz Roja,Calle 45 # 9B-10,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=3
Bucaramanga,Banco Arquidiocesano de Alimentos de Bucaramanga,Carrera 20 # 11-46,Alimentos y elementos de primera necesidad,https://www.instagram.com/p/Db3xo3knWTH/
Bucaramanga,Cruz Roja / Neomundo,Calle 89 Transversal Oriental Metropolitana # 69,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=3
Floridablanca,Cruz Roja / C.C. La Florida,Calle 31 # 26A-19,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=3
Barrancabermeja,Cruz Roja,Calle 48 # 22-141,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=3
Piedecuesta,Gimnasio Sport Center,Carrera 12 # 6-41,Alimentos y artículos de primera necesidad,https://www.instagram.com/p/Db6oQSaAMjK/
META,,,,
Villavicencio,Cruz Roja,Calle 13 # 13-08,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=4
Villavicencio,Banco de Alimentos Arquidiocesis de Villavicencio,Calle 23C # 22-02,Alimentos y elementos de primera necesidad,https://www.instagram.com/p/Db3_HLvN8U7/
NORTE DE SANTANDER,,,,
Cúcuta,Minuto de Dios,Avenida 1E # 20-56,"Alimentos no perecederos, kits de aseo, colchonetas, frazadas y herramientas.
",https://www.instagram.com/p/Db4A78XsMUB/
BOLÍVAR,,,,
Cartagena,Cruz Roja,Calle 30 # 44D-71,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=4
Cartagena,Fundación Tierra Grata,Edificio Torre Mar de Luna - Carrera 44D # 30-42,"Agua, alimentos no perecederos, elementos de aseo, pañales, cobijas, colchonetas, linternas, baterías, medicamentos, insumos de primeros auxilios",https://www.instagram.com/p/Db4JRgRxv5D/
Cartagena,Fundación Tierra Grata,"Edificio Morros 1, al lado del Hotel Las Américas","Agua, alimentos no perecederos, elementos de aseo, pañales, cobijas, colchonetas, linternas, baterías, medicamentos, insumos de primeros auxilios",https://www.instagram.com/p/Db4JRgRxv5D/
Cartagena,Minuto de Dios,"Carrera 15 # 31-110. C.C. San Lázaro, Local 19","Alimentos no perecederos, kits de aseo, colchonetas, frazadas y herramientas.
",https://www.instagram.com/p/Db4A78XsMUB/
Cartagena,Banco de Alimentos Arquidiócesis de Cartagena,Carrera 6 # 7 -122 Parroquia Nuestra Señora del Perpetuo Socorro,"Alimentos no perecederos, agua y bebidas hidratantes, elementos de aseo, alimentos para bebés, pañales desechables, alimentos para mascotas",https://www.instagram.com/p/Db4Jcc7FuRr/?img_index=1
Cartagena,Banco de Alimentos Arquidiócesis de Cartagena,Avenida 3 # 70-32. Parroquia Cristo Rey,"Alimentos no perecederos, agua y bebidas hidratantes, elementos de aseo, alimentos para bebés, pañales desechables, alimentos para mascotas",https://www.instagram.com/p/Db4Jcc7FuRr/?img_index=1
Cartagena,Banco de Alimentos Arquidiócesis de Cartagena,Carrera 5 No.34-55. Capilla Nuestra Señora de Guadalupe,"Alimentos no perecederos, agua y bebidas hidratantes, elementos de aseo, alimentos para bebés, pañales desechables, alimentos para mascotas",https://www.instagram.com/p/Db4Jcc7FuRr/?img_index=1
Cartagena,Alcaldía de Cartagena,Coliseo Bernardo Caraballo,"Agua potable, alimentos no perecederos, sábanas y frazadas, elementos de aseo personal, colchonetas, elementos de primera necesidad.",https://www.instagram.com/p/Db4D3Afkfhz/?img_index=3
CHOCÓ,,,,
Quibdó,REDDHHPAC,Calle 25 # 6-58,"Alimentos no perecederos, agua potable, elementos de higiene, ropa, cobijas, colchonetas, implementos para niños y niñas, otros elementos de primera necesidad",https://www.instagram.com/p/Db33CZQPw_D/
Quibdó,Defensa Civil Colombiana,Carrera 2 # 24-41,"Agua potable, alimentos no perecederos, productos de aseo e higiene personal, elementos de primeros auxilios e insumos médicos, artículos para bebés, colchonetas, mantas, cobijas, elementos de protección (guantes, gafas y cascos)",https://www.instagram.com/p/Db5pxZrDlhi/?img_index=7
Quibdó,Gobernación del Chocó,Calle 31 - Edificio La Confianza,"Agua, kits de hábitat, productos de aseo, insumos médicos, alimentos no perecederos, alimentos para mascotas, enseres",https://www.instagram.com/p/Db4gCbYt1qB/
Quibdó,Gobernación del Chocó,Km. 4 vía Quibdó-Yuto. Centro Logístico Humanitario (Antigua Bodega Postobón),"Agua, kits de hábitat, productos de aseo, insumos médicos, alimentos no perecederos, alimentos para mascotas, enseres",https://www.instagram.com/p/Db4gCbYt1qB/
BOYACÁ,,,,
Tunja,Cruz Roja,Calle 17 # 9-56,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=3
Duitama,Cruz Roja,Carrera 16 A # 10-26,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=3
Duitama,Café Leyenda,Carrera 13 # 16-29,"Alimentos no perecederos, agua, productos de higiene, ropa en buen estado, elementos de primeros auxilios.","https://www.instagram.com/p/Db3wD60smZF/

Cel.: 3202946457"
Sogamoso,Cruz Roja,Calle 11A # 8-46,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=3
ESTADOS UNIDOS,,,,
Doral (FL),Global Empowerment Mission,"1850 NW 84th Ave, Suite # 100, Doral (FL), 33126","Carpas y lonas nuevas, sacos de dormir, mantas, cepillos y pasta dental, jabón, champú, desodorante, botiquines de primeros auxilios",https://www.instagram.com/p/Db6mUXUEatt/?img_index=2
